Player,FNameInit,Team,Value,Start,Sub,Goals,Penalty Missed,Key Contributions,Clean Sheet Full, Clean Sheet Part,Goal Conceded, Penalty Save,Red Card,Yellow Card,Own Goal, Points Per Value,Total Points
 Boruc, A,BOU,2.4m,30,0,0,0,0,7,0,48,1,0,2,0,30.4,73
 Abdi, A,WAT,2.5m,24,9,1,0,4,-,-,-,-,0,2,0,28.8,72
 Sturridge, D,LIV,6.4m,9,4,8,0,3,-,-,-,-,0,0,0,11.1,71
 Mbokani, D,NOR,4.0m,14,12,5,0,2,-,-,-,-,0,0,0,17.8,71
 Ward-Prowse, J,SOT,3.5m,14,17,2,0,7,-,-,-,-,0,5,0,20.3,71
 Westwood, A,AVL,3.4m,31,1,2,0,2,-,-,-,-,0,8,0,20.9,71
 Afellay, I,STO,3.3m,24,7,2,0,4,-,-,-,-,1,3,0,21.5,71
 Britos, M,WAT,2.6m,22,0,0,0,0,7,1,21,-,0,6,0,27.3,71
 Fernandinho,MCY,4.5m,29,2,2,0,2,-,-,-,-,0,6,0,15.6,70
 Cleverley, T,EVE,3.5m,18,5,1,0,8,-,-,-,-,0,0,0,20.0,70
 Campbell, J,ARS,3.8m,15,7,4,0,4,-,-,-,-,0,0,0,18.2,69
 Mangala, E,MCY,3.8m,20,0,0,0,0,9,0,16,-,0,8,1,18.2,69
 Jerome, C,NOR,4.1m,17,15,3,0,2,-,-,-,-,0,2,0,16.6,68
 McCarthy, J,EVE,4.1m,29,0,1,0,5,-,-,-,-,1,7,0,16.6,68
 Rojo, M,MUN,3.8m,15,1,0,0,2,8,1,9,-,0,4,0,17.9,68
 Gardner, C,WBA,3.2m,19,14,3,0,2,-,-,-,-,0,5,0,21.2,68
 Capoue, E,WAT,3.0m,36,0,0,0,1,-,-,-,-,0,7,0,22.7,68
 Collins, J,WHM,3.0m,18,4,0,0,1,7,4,15,-,1,3,0,22.7,68
 Cameron, G,STO,2.9m,24,3,0,0,1,6,3,35,-,1,0,0,23.4,68
 Prodl, S,WAT,2.7m,20,2,1,0,0,7,0,25,-,0,5,0,24.8,67
 Cork, J,SWA,3.1m,26,7,0,0,4,-,-,-,-,0,2,1,21.3,66
 Pugh, M,BOU,2.5m,14,12,3,0,4,-,-,-,-,0,1,0,26.4,66
 Targett, M,SOT,2.0m,14,1,0,0,2,7,1,12,-,0,1,0,33.0,66
 Bony, W,MCY,6.0m,12,12,4,1,4,-,-,-,-,0,1,0,10.8,65
 Heung-Min, S,TOT,4.8m,13,15,3,0,3,-,-,-,-,0,0,0,13.5,65
 Borini, F,SUN,4.6m,19,4,4,0,3,-,-,-,-,0,6,0,14.1,65
 McArthur, J,CRY,3.5m,23,3,2,0,3,-,-,-,-,0,3,0,18.6,65
 Schneiderlin, M,MUN,4.2m,26,4,1,0,2,-,-,-,-,0,3,0,15.2,64
 Robles, J,EVE,2.3m,16,0,0,0,0,7,0,16,1,0,1,0,27.8,64
 Joselu,STO,4.3m,11,12,4,0,3,-,-,-,-,0,0,0,14.7,63
 Morrison, J,WBA,3.4m,18,1,4,1,4,-,-,-,-,0,4,0,18.5,63
 Barry, G,EVE,3.3m,32,1,0,0,3,-,-,-,-,2,5,0,19.1,63
 Veretout, J,AVL,3.2m,22,5,0,0,6,-,-,-,-,0,4,0,19.7,63
 Reid, W,WHM,3.1m,24,0,0,0,1,8,0,31,-,0,5,1,20.3,63
 Myhill, B,WBA,2.0m,23,0,0,0,0,7,0,32,0,0,2,0,31.5,63
 Terry, J,CHE,4.9m,23,1,1,0,1,6,2,30,-,1,3,1,12.7,62
 Matic, N,CHE,4.3m,26,6,1,0,2,-,-,-,-,1,4,0,14.4,62
 Sakho, M,LIV,3.9m,21,1,1,0,1,5,0,30,-,0,1,0,15.9,62
 Courtois, T,CHE,4.0m,24,0,0,0,0,5,0,29,1,2,1,0,15.2,61
 Naughton, K,SWA,3.0m,18,7,0,0,2,4,5,25,-,1,2,0,20.3,61
 Sakho, D,WHM,4.9m,15,3,4,0,3,-,-,-,-,0,2,0,12.2,60
 Diouf, M,STO,4.8m,13,13,4,0,1,-,-,-,-,0,2,0,12.5,60
 Gibbs, K,ARS,4.1m,8,12,1,0,1,3,10,10,-,0,0,0,14.6,60
 Sinclair, S,AVL,3.3m,20,7,2,0,1,-,-,-,-,0,0,0,18.2,60
 Depay, M,MUN,4.6m,16,13,2,0,2,-,-,-,-,0,2,0,12.8,59
 Clichy, G,MCY,4.3m,11,3,0,0,1,6,3,8,-,0,0,0,13.7,59
 Can, E,LIV,3.8m,27,2,1,0,2,-,-,-,-,0,8,0,15.5,59
